Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
Downtown,1878,1,1,"Pet Friendly, Smart Home, Maid Room",Semi-Furnished,Sea,Sobha,2008,3,130441,2121901,Apartment
JVC,1886,1,1,"Gym, Kids Area, Balcony, Smart Home, Security, Pet Friendly",Semi-Furnished,Sea,Emaar,2004,2,141407,2463780,Apartment
Dubai Marina,4001,6,7,"Parking, Balcony, Pet Friendly, Smart Home, Pool",Semi-Furnished,Sea,Damac,2020,3,234224,3497152,Villa
Palm Jumeirah,5600,5,5,"Smart Home, Kids Area, Pet Friendly, Balcony, Parking",Unfurnished,City,Azizi,2001,1,258295,5308934,Villa
Business Bay,2954,3,4,"Security, Parking, Maid Room, Kids Area, Smart Home",Semi-Furnished,Street,Meraas,2009,1,277498,4560187,Townhouse
Downtown,4073,5,6,"Gym, Balcony, Security, Parking",Furnished,None,Emaar,2008,2,386380,6195600,Villa
The Springs,748,2,3,"Maid Room, Kids Area, Security, Parking",Semi-Furnished,Street,Meraas,2005,3,44273,812060,Apartment
The Springs,532,2,1,"Balcony, Maid Room, Pool, Parking, Security",Unfurnished,Sea,Meraas,2006,2,33375,584685,Apartment
JVC,3477,4,3,"Kids Area, Gym, Balcony, Maid Room",Furnished,City,Azizi,2002,2,263701,4705370,Townhouse
Dubai Marina,1914,3,4,"Balcony, Security, Pet Friendly, Kids Area",Furnished,Park,Nakheel,2022,3,99066,2404110,Townhouse
JLT,587,3,2,"Parking, Security, Gym",Furnished,Park,Nakheel,2018,3,27273,635031,Apartment
JVC,1698,1,1,"Pool, Smart Home, Gym, Balcony, Maid Room, Pet Friendly",Unfurnished,None,Nakheel,2019,2,64302,1596066,Apartment
The Springs,2028,4,4,"Smart Home, Gym, Parking, Balcony",Unfurnished,City,Sobha,2020,1,124740,2288880,Townhouse
JLT,2413,3,4,"Kids Area, Security, Maid Room, Smart Home",Unfurnished,City,Meraas,2014,1,293205,4288453,Townhouse
Palm Jumeirah,1443,2,2,"Parking, Pool, Pet Friendly, Balcony",Unfurnished,City,Emaar,2014,2,98077,1746472,Apartment
Downtown,622,1,1,"Maid Room, Security, Parking, Smart Home, Balcony",Furnished,City,Azizi,2006,3,38265,769731,Apartment
Business Bay,5718,4,3,"Kids Area, Smart Home, Maid Room, Security",Semi-Furnished,City,Nakheel,2008,2,644927,9916898,Villa
Arabian Ranches,1083,3,3,"Smart Home, Security, Balcony, Maid Room, Pet Friendly",Semi-Furnished,Sea,Sobha,2001,2,68297,1064469,Apartment
Palm Jumeirah,2579,4,3,"Security, Kids Area, Gym, Parking, Balcony",Semi-Furnished,City,Azizi,2017,3,119727,2577587,Villa
Palm Jumeirah,2018,2,1,"Kids Area, Smart Home, Maid Room, Security",Semi-Furnished,Sea,Meraas,2012,3,217310,3551138,Townhouse
Business Bay,1642,3,3,"Pool, Gym, Kids Area",Semi-Furnished,City,Azizi,2011,2,102375,2362648,Apartment
Downtown,1951,3,4,"Parking, Maid Room, Security, Smart Home, Pet Friendly, Pool",Unfurnished,Sea,Sobha,2007,2,168415,2678202,Townhouse
JLT,996,3,2,"Pool, Kids Area, Pet Friendly, Parking",Semi-Furnished,Park,Nakheel,2010,2,44691,878617,Apartment
Business Bay,5383,5,5,"Parking, Pool, Kids Area",Semi-Furnished,Street,Sobha,2015,1,367217,8783303,Villa
Arabian Ranches,1295,1,2,"Maid Room, Smart Home, Parking, Security, Pet Friendly",Unfurnished,Sea,Meraas,2002,3,56859,1001960,Apartment
Dubai Marina,1451,1,2,"Balcony, Pool, Pet Friendly, Kids Area, Maid Room, Parking",Semi-Furnished,Street,Meraas,2004,3,63596,1399262,Apartment
Arabian Ranches,1999,3,4,"Gym, Pet Friendly, Security, Parking, Maid Room, Balcony",Furnished,Sea,Nakheel,2010,2,107692,1639971,Apartment
Arabian Ranches,1738,3,2,"Parking, Balcony, Pet Friendly, Pool, Kids Area",Semi-Furnished,Park,Emaar,2000,3,134178,2053511,Apartment
Downtown,541,2,2,"Balcony, Maid Room, Parking, Pool",Semi-Furnished,City,Nakheel,2006,2,25902,390513,Apartment
Palm Jumeirah,1168,1,1,"Pet Friendly, Gym, Balcony, Maid Room",Semi-Furnished,Park,Nakheel,2024,2,59883,1369098,Apartment
Downtown,1584,3,4,"Parking, Balcony, Gym",Semi-Furnished,None,Damac,2023,2,75709,1634850,Apartment
Dubai Marina,3973,6,6,"Smart Home, Gym, Maid Room",Semi-Furnished,Street,Sobha,2003,2,227282,4610239,Villa
Dubai Marina,1735,2,1,"Pet Friendly, Smart Home, Gym",Semi-Furnished,City,Emaar,2004,1,58833,1460673,Apartment
Downtown,1362,1,1,"Security, Kids Area, Maid Room, Balcony",Furnished,Street,Nakheel,2005,3,124841,2005191,Apartment
Downtown,624,1,1,"Balcony, Security, Maid Room, Kids Area, Parking, Smart Home",Unfurnished,City,Emaar,2000,2,24407,451025,Apartment
Downtown,1895,4,4,"Parking, Pool, Gym, Maid Room",Furnished,Sea,Sobha,2002,1,180769,3351744,Townhouse
The Springs,2899,3,2,"Security, Smart Home, Balcony",Semi-Furnished,Park,Damac,2021,3,197363,3379024,Townhouse
Dubai Marina,1933,3,2,"Balcony, Parking, Pet Friendly, Pool",Furnished,Sea,Meraas,2003,3,131722,1977595,Apartment
Dubai Marina,913,1,2,"Kids Area, Smart Home, Maid Room, Security, Pet Friendly",Unfurnished,None,Damac,2024,1,45023,878630,Apartment
Downtown,470,3,3,"Balcony, Parking, Gym",Furnished,Sea,Nakheel,2005,2,25738,450272,Apartment
Palm Jumeirah,2184,4,5,"Smart Home, Balcony, Maid Room, Security, Parking, Pet Friendly",Furnished,City,Meraas,2024,3,188691,3764966,Townhouse
Downtown,1398,3,3,"Kids Area, Security, Gym",Semi-Furnished,Street,Meraas,2000,3,52420,1119773,Apartment
Palm Jumeirah,2046,4,5,"Parking, Kids Area, Maid Room, Balcony, Smart Home",Unfurnished,Sea,Azizi,2005,2,220646,3314574,Townhouse
Business Bay,1793,1,1,"Kids Area, Parking, Security, Pet Friendly",Unfurnished,Sea,Azizi,2011,3,108479,1585619,Apartment
Downtown,605,3,2,"Parking, Pet Friendly, Smart Home, Pool",Semi-Furnished,Sea,Sobha,2009,2,59447,859563,Apartment
Palm Jumeirah,678,3,3,"Pool, Security, Kids Area",Unfurnished,City,Nakheel,2023,3,33468,796777,Apartment
The Springs,1384,1,1,"Parking, Pet Friendly, Balcony, Security, Pool, Kids Area",Semi-Furnished,Sea,Nakheel,2008,1,85534,1957129,Apartment
Downtown,691,3,3,"Gym, Pool, Security, Parking, Pet Friendly",Furnished,None,Sobha,2007,3,46946,725976,Apartment
Palm Jumeirah,1944,3,3,"Gym, Pet Friendly, Smart Home, Parking, Maid Room",Unfurnished,Street,Sobha,2018,1,165435,2723532,Apartment
Palm Jumeirah,3420,3,2,"Balcony, Smart Home, Pet Friendly, Kids Area, Maid Room",Semi-Furnished,Sea,Meraas,2003,2,348088,5616751,Villa
JLT,3846,6,7,"Kids Area, Pool, Gym, Pet Friendly, Balcony",Furnished,None,Sobha,2007,3,227633,4745068,Villa
Palm Jumeirah,1558,2,3,"Gym, Pool, Security, Kids Area, Maid Room, Pet Friendly",Furnished,Park,Damac,2018,3,114756,1974678,Apartment
The Springs,2663,5,6,"Smart Home, Gym, Balcony, Kids Area, Pet Friendly, Maid Room",Furnished,None,Nakheel,2000,3,199760,4649464,Villa
The Springs,3293,3,3,"Kids Area, Maid Room, Pool, Parking, Balcony",Furnished,City,Sobha,2022,3,223398,3501030,Townhouse
Business Bay,1520,3,3,"Kids Area, Parking, Pet Friendly, Balcony, Gym, Smart Home",Semi-Furnished,None,Azizi,2023,1,71249,1448905,Apartment
Dubai Marina,3781,6,7,"Pet Friendly, Balcony, Parking, Kids Area",Semi-Furnished,City,Damac,2014,2,404324,5878588,Villa
Arabian Ranches,788,3,3,"Maid Room, Parking, Balcony, Security, Gym",Furnished,Sea,Emaar,2022,3,67575,1128225,Apartment
JLT,1096,3,3,"Parking, Pet Friendly, Gym, Kids Area, Maid Room, Smart Home",Semi-Furnished,Park,Sobha,2001,1,74892,1247675,Apartment
JLT,859,3,2,"Balcony, Smart Home, Kids Area, Pool",Furnished,Sea,Damac,2007,1,64885,1190595,Apartment
Palm Jumeirah,1528,3,2,"Parking, Pet Friendly, Kids Area, Security, Balcony, Maid Room",Unfurnished,City,Damac,2013,2,102676,1515182,Apartment
Business Bay,1131,1,2,"Kids Area, Balcony, Pet Friendly, Security",Unfurnished,Park,Emaar,2016,3,60379,1222147,Apartment
Business Bay,5439,4,4,"Gym, Smart Home, Security, Balcony, Kids Area",Unfurnished,Street,Emaar,2005,1,419916,7396815,Villa
JVC,2776,4,3,"Kids Area, Pool, Maid Room",Semi-Furnished,None,Damac,2023,1,229939,4201787,Townhouse
Downtown,2240,4,4,"Maid Room, Security, Parking, Pool, Smart Home",Unfurnished,Street,Nakheel,2024,3,229710,3987599,Townhouse
JVC,1908,4,4,"Pool, Maid Room, Security",Semi-Furnished,Park,Meraas,2006,1,214656,3395823,Townhouse
Downtown,1860,4,4,"Kids Area, Pool, Gym",Semi-Furnished,None,Meraas,2021,2,153551,2985139,Townhouse
Palm Jumeirah,1103,1,1,"Kids Area, Parking, Maid Room, Balcony, Smart Home",Semi-Furnished,Sea,Nakheel,2008,2,47964,949115,Apartment
Dubai Marina,1939,1,2,"Gym, Maid Room, Security, Smart Home, Parking",Furnished,Park,Emaar,2016,1,70331,1364530,Apartment
JVC,2963,4,4,"Parking, Balcony, Kids Area",Unfurnished,Street,Nakheel,2017,1,225770,5261619,Townhouse
Downtown,1575,1,1,"Maid Room, Parking, Pet Friendly, Balcony",Furnished,None,Emaar,2017,1,104601,2119578,Apartment
JLT,1798,1,2,"Pool, Smart Home, Maid Room, Security",Furnished,None,Damac,2014,3,105749,2046815,Apartment
Palm Jumeirah,3169,4,3,"Balcony, Kids Area, Pool, Pet Friendly, Maid Room",Furnished,Street,Emaar,2011,1,367923,5439938,Townhouse
Dubai Marina,1986,4,5,"Maid Room, Pet Friendly, Smart Home, Security, Pool",Semi-Furnished,City,Nakheel,2014,1,127610,2170616,Townhouse
The Springs,568,2,1,"Pool, Kids Area, Security, Balcony, Pet Friendly, Smart Home",Semi-Furnished,Street,Damac,2024,3,39925,715180,Apartment
JVC,582,2,3,"Kids Area, Gym, Security, Smart Home",Furnished,City,Sobha,2006,2,35600,856325,Apartment
The Springs,4646,4,5,"Gym, Balcony, Maid Room, Smart Home, Pool",Furnished,City,Emaar,2022,1,343825,6017848,Villa
JVC,1181,1,2,"Security, Gym, Pool",Unfurnished,City,Nakheel,2012,1,76724,1177961,Apartment
JVC,1626,1,2,"Pet Friendly, Security, Pool, Kids Area, Parking",Semi-Furnished,Sea,Sobha,2013,2,100544,1499935,Apartment
Palm Jumeirah,421,3,4,"Gym, Smart Home, Pool, Kids Area, Pet Friendly, Maid Room",Unfurnished,Sea,Emaar,2005,2,17791,317097,Apartment
Downtown,2325,4,5,"Security, Maid Room, Parking, Smart Home, Pet Friendly, Gym",Furnished,Street,Nakheel,2002,3,176178,3828006,Townhouse
JVC,623,1,1,"Pet Friendly, Parking, Gym",Unfurnished,Sea,Nakheel,2013,3,38592,620957,Apartment
Palm Jumeirah,484,3,4,"Balcony, Kids Area, Gym, Security",Furnished,Park,Damac,2008,1,21830,474365,Apartment
JVC,713,2,3,"Balcony, Parking, Kids Area",Furnished,City,Meraas,2023,2,27328,513536,Apartment
Business Bay,3678,4,3,"Gym, Pool, Kids Area, Maid Room, Balcony",Unfurnished,None,Emaar,2019,3,242522,3567348,Villa
Arabian Ranches,612,3,2,"Pet Friendly, Gym, Security",Furnished,Street,Azizi,2003,1,32908,801561,Apartment
Dubai Marina,1375,3,4,"Security, Pet Friendly, Balcony, Kids Area, Pool, Smart Home",Unfurnished,City,Damac,2020,2,99735,1489541,Apartment
Palm Jumeirah,1137,1,1,"Parking, Pet Friendly, Maid Room, Pool, Smart Home",Unfurnished,Sea,Sobha,2009,1,43659,834607,Apartment
Business Bay,2056,4,4,"Pet Friendly, Maid Room, Balcony, Smart Home",Unfurnished,Street,Sobha,2012,2,119088,2392279,Townhouse
The Springs,1485,1,1,"Balcony, Maid Room, Pet Friendly, Kids Area",Unfurnished,None,Damac,2014,3,131610,2064077,Apartment
Arabian Ranches,3374,6,5,"Pool, Smart Home, Parking, Security, Balcony, Gym",Furnished,Park,Damac,2017,1,335450,4924864,Villa
The Springs,1307,1,2,"Pet Friendly, Parking, Smart Home, Kids Area",Unfurnished,None,Nakheel,2020,2,97074,1516192,Apartment
Downtown,1359,1,2,"Smart Home, Kids Area, Security, Pet Friendly",Unfurnished,Sea,Meraas,2003,1,42052,1044527,Apartment
JVC,584,2,2,"Parking, Balcony, Maid Room, Gym",Semi-Furnished,None,Damac,2018,2,38544,630760,Apartment
JLT,1550,1,1,"Pet Friendly, Pool, Security, Maid Room",Semi-Furnished,Park,Azizi,2017,3,115873,1667263,Apartment
Business Bay,3159,2,2,"Gym, Parking, Balcony",Semi-Furnished,Street,Sobha,2005,1,304918,4378928,Townhouse
Arabian Ranches,2997,4,3,"Gym, Smart Home, Kids Area, Security, Parking, Pet Friendly",Furnished,City,Emaar,2005,1,257440,4267821,Townhouse
Downtown,1769,1,2,"Security, Pool, Parking, Maid Room, Balcony",Furnished,None,Azizi,2013,1,83512,1755153,Apartment
JLT,1848,3,3,"Gym, Balcony, Kids Area, Parking",Semi-Furnished,Street,Sobha,2010,1,138490,1982601,Townhouse
Palm Jumeirah,3863,3,2,"Gym, Security, Balcony",Furnished,Street,Sobha,2012,1,277889,5776298,Villa
The Springs,1449,2,2,"Parking, Kids Area, Smart Home, Maid Room, Security",Furnished,Street,Damac,2008,1,140062,2073063,Apartment
Dubai Marina,2452,4,3,"Parking, Pool, Smart Home",Furnished,Park,Damac,2002,1,158468,3363920,Townhouse
Dubai Marina,1819,4,3,"Pool, Parking, Security, Kids Area, Balcony",Unfurnished,City,Meraas,2003,3,102510,1677078,Townhouse
Business Bay,1966,2,1,"Gym, Pet Friendly, Smart Home",Unfurnished,Park,Nakheel,2001,3,85775,1728923,Townhouse
Business Bay,804,3,3,"Smart Home, Security, Kids Area, Pet Friendly",Unfurnished,Sea,Sobha,2005,3,25664,566860,Apartment
Business Bay,1510,3,2,"Pool, Balcony, Maid Room",Semi-Furnished,Park,Nakheel,2012,3,101076,2066936,Apartment
The Springs,984,1,1,"Kids Area, Balcony, Security, Gym, Parking",Semi-Furnished,Park,Emaar,2001,1,72287,1077616,Apartment
JVC,5849,6,5,"Gym, Pool, Parking, Security, Pet Friendly, Maid Room",Unfurnished,City,Meraas,2010,2,435751,6773800,Villa
Arabian Ranches,1963,2,2,"Balcony, Parking, Gym, Kids Area",Semi-Furnished,Street,Sobha,2014,2,184692,2824279,Apartment
The Springs,1351,2,1,"Pet Friendly, Maid Room, Gym, Pool",Semi-Furnished,Street,Meraas,2004,2,71112,1340959,Apartment
Downtown,776,1,1,"Pet Friendly, Smart Home, Pool",Semi-Furnished,City,Nakheel,2000,2,38631,786697,Apartment
JLT,1396,3,4,"Pet Friendly, Maid Room, Smart Home, Pool, Balcony, Gym",Semi-Furnished,Sea,Emaar,2010,3,73485,1509578,Apartment
Business Bay,1412,1,1,"Gym, Security, Kids Area, Pool, Parking, Smart Home",Unfurnished,None,Sobha,2019,1,93064,1665161,Apartment
Arabian Ranches,5805,4,4,"Pool, Gym, Balcony, Parking, Pet Friendly, Maid Room",Furnished,City,Meraas,2007,2,558142,8323623,Villa
Palm Jumeirah,4773,5,6,"Balcony, Parking, Smart Home, Kids Area, Security",Furnished,None,Azizi,2007,1,332692,6150430,Villa
JVC,595,2,1,"Pool, Smart Home, Balcony, Security, Parking",Furnished,Street,Sobha,2024,1,38298,793150,Apartment
Downtown,1992,1,1,"Balcony, Gym, Parking, Pet Friendly",Unfurnished,Street,Azizi,2004,2,159201,2918945,Apartment
Arabian Ranches,4696,4,5,"Pool, Security, Kids Area, Gym",Unfurnished,Park,Azizi,2016,2,252425,4922471,Villa
JVC,818,1,1,"Gym, Pet Friendly, Maid Room",Semi-Furnished,Street,Nakheel,2014,3,36777,822593,Apartment
Palm Jumeirah,2941,5,5,"Balcony, Smart Home, Parking, Pool, Security",Furnished,City,Emaar,2003,1,277501,4904816,Villa
Arabian Ranches,1875,2,3,"Pet Friendly, Kids Area, Balcony",Furnished,City,Azizi,2024,1,113259,2277931,Apartment
JVC,1914,4,5,"Smart Home, Pool, Gym, Maid Room",Furnished,Sea,Azizi,2005,3,124090,1981016,Townhouse
Arabian Ranches,1245,2,1,"Pet Friendly, Gym, Security, Balcony, Kids Area, Pool",Unfurnished,Sea,Nakheel,2014,1,66419,986288,Apartment
JLT,515,3,4,"Gym, Balcony, Smart Home",Furnished,Sea,Nakheel,2024,1,51603,751886,Apartment
Downtown,1061,2,3,"Gym, Security, Balcony, Maid Room, Pet Friendly, Kids Area",Furnished,Park,Azizi,2001,1,51322,937504,Apartment
Arabian Ranches,4882,5,6,"Pet Friendly, Balcony, Pool, Security",Furnished,None,Damac,2008,3,296120,5732935,Villa
Business Bay,3549,5,4,"Security, Pet Friendly, Gym, Kids Area, Parking",Semi-Furnished,Sea,Sobha,2019,3,329610,5223582,Villa
Business Bay,485,2,1,"Balcony, Security, Pet Friendly, Kids Area",Unfurnished,Park,Azizi,2009,2,30873,519446,Apartment
Business Bay,916,1,2,"Security, Gym, Pool",Furnished,City,Nakheel,2015,3,46131,925945,Apartment
The Springs,3176,6,6,"Balcony, Pool, Security, Gym, Kids Area",Furnished,None,Emaar,2000,2,269822,5494986,Villa
The Springs,3153,3,2,"Balcony, Maid Room, Smart Home, Kids Area, Parking",Furnished,City,Sobha,2020,1,142045,3460322,Villa
Dubai Marina,938,2,1,"Gym, Smart Home, Pool",Furnished,Sea,Emaar,2023,1,66474,998215,Apartment
JLT,1839,3,3,"Parking, Balcony, Gym",Semi-Furnished,Street,Emaar,2001,2,103817,1923575,Apartment
Downtown,2981,2,3,"Security, Maid Room, Kids Area",Semi-Furnished,Park,Damac,2000,3,211414,3195520,Townhouse
Business Bay,5819,3,4,"Pet Friendly, Smart Home, Maid Room",Furnished,Sea,Damac,2011,1,436762,8135247,Villa
Palm Jumeirah,1164,3,3,"Kids Area, Maid Room, Balcony, Pool",Unfurnished,Street,Damac,2014,2,67946,1529322,Apartment
Palm Jumeirah,4170,5,5,"Security, Parking, Smart Home",Semi-Furnished,Street,Sobha,2024,3,311339,6929705,Villa
JVC,1680,1,2,"Maid Room, Parking, Pet Friendly, Security, Pool",Furnished,Street,Emaar,2013,1,141207,2507237,Apartment
Dubai Marina,921,3,4,"Balcony, Kids Area, Maid Room, Gym",Semi-Furnished,City,Azizi,2012,3,58448,1128697,Apartment
Arabian Ranches,5317,3,2,"Parking, Balcony, Kids Area, Gym, Security, Pet Friendly",Semi-Furnished,Park,Emaar,2022,2,289067,5539427,Villa
Business Bay,597,1,1,"Gym, Security, Maid Room",Furnished,Park,Meraas,2002,1,36933,538940,Apartment
The Springs,3154,3,2,"Kids Area, Pet Friendly, Parking, Pool, Smart Home",Semi-Furnished,None,Azizi,2015,3,184097,4462289,Townhouse
Palm Jumeirah,2823,3,3,"Security, Smart Home, Pet Friendly",Semi-Furnished,None,Emaar,2013,3,260087,3915853,Townhouse
Palm Jumeirah,2578,2,2,"Smart Home, Security, Maid Room",Furnished,Sea,Nakheel,2023,3,158001,3689888,Townhouse
The Springs,3488,6,5,"Security, Smart Home, Pool, Maid Room, Balcony",Furnished,Sea,Meraas,2004,3,367837,5799555,Villa
Palm Jumeirah,771,2,2,"Maid Room, Gym, Parking, Security, Smart Home, Balcony",Furnished,Street,Damac,2005,1,35896,718748,Apartment
Dubai Marina,5929,3,2,"Smart Home, Balcony, Gym, Maid Room, Pool, Kids Area",Furnished,City,Nakheel,2007,2,567890,9875138,Villa
Palm Jumeirah,1310,3,2,"Parking, Maid Room, Pool",Unfurnished,None,Azizi,2000,2,91721,1436960,Apartment
The Springs,1475,3,3,"Pet Friendly, Smart Home, Gym",Semi-Furnished,Street,Azizi,2022,2,47368,1111487,Apartment
Arabian Ranches,1438,1,1,"Gym, Parking, Maid Room",Unfurnished,Park,Meraas,2006,2,99546,1765705,Apartment
JLT,1744,1,2,"Pool, Gym, Maid Room, Pet Friendly, Kids Area, Parking",Furnished,Street,Emaar,2011,1,78010,1932625,Apartment
JLT,418,2,1,"Balcony, Smart Home, Pet Friendly, Pool, Kids Area",Unfurnished,Street,Sobha,2015,1,16818,325721,Apartment
Dubai Marina,660,3,2,"Smart Home, Pool, Security",Furnished,Park,Meraas,2024,2,46041,905399,Apartment
Business Bay,2632,2,2,"Kids Area, Pet Friendly, Gym",Furnished,City,Sobha,2014,3,201313,4306932,Townhouse
Downtown,1443,2,3,"Balcony, Security, Maid Room, Gym",Semi-Furnished,None,Emaar,2013,1,101391,1658511,Apartment
Downtown,2663,5,5,"Security, Smart Home, Kids Area, Parking, Pet Friendly, Maid Room",Semi-Furnished,Street,Azizi,2015,2,270349,4147403,Villa
Downtown,586,3,3,"Maid Room, Pool, Parking, Kids Area, Pet Friendly",Semi-Furnished,City,Azizi,2016,1,37413,556958,Apartment
Business Bay,1113,2,1,"Maid Room, Pet Friendly, Parking, Smart Home, Security",Semi-Furnished,Park,Azizi,2004,3,63145,1041781,Apartment
Arabian Ranches,4764,5,4,"Maid Room, Parking, Gym, Kids Area, Smart Home, Pool",Furnished,None,Meraas,2010,1,516752,8038169,Villa
Arabian Ranches,1391,3,3,"Maid Room, Kids Area, Pool, Parking, Security, Gym",Semi-Furnished,Sea,Sobha,2017,2,44632,977335,Apartment
JLT,2731,4,5,"Maid Room, Pet Friendly, Pool, Parking, Gym",Semi-Furnished,Street,Azizi,2003,2,166889,3378717,Townhouse
Downtown,1140,1,1,"Security, Pool, Maid Room",Unfurnished,City,Nakheel,2003,3,65726,1424292,Apartment
JVC,1091,3,4,"Security, Pet Friendly, Pool, Smart Home, Kids Area",Unfurnished,None,Azizi,2024,2,79630,1573528,Apartment
Business Bay,1533,3,3,"Parking, Pet Friendly, Pool, Security",Unfurnished,Sea,Nakheel,2002,3,137416,1981195,Apartment
JLT,2055,2,1,"Balcony, Maid Room, Smart Home, Security, Pool, Kids Area",Furnished,City,Emaar,2000,1,160400,3023237,Townhouse
The Springs,875,1,1,"Smart Home, Maid Room, Pool, Kids Area, Balcony, Security",Furnished,None,Damac,2006,3,60921,956563,Apartment
Arabian Ranches,1422,3,4,"Smart Home, Balcony, Parking, Pool, Gym, Maid Room",Furnished,Street,Nakheel,2006,2,67382,1397274,Apartment
JLT,2577,4,4,"Balcony, Pool, Maid Room",Unfurnished,Sea,Sobha,2018,2,121360,2988084,Townhouse
The Springs,4237,3,3,"Kids Area, Balcony, Parking, Pet Friendly, Maid Room",Semi-Furnished,Park,Nakheel,2007,3,354940,6122502,Villa
Business Bay,2581,3,2,"Pool, Parking, Gym, Security",Unfurnished,None,Emaar,2008,1,163000,3420480,Townhouse
Downtown,1292,2,1,"Pet Friendly, Security, Pool, Smart Home",Furnished,Park,Emaar,2019,1,95001,1496248,Apartment
Downtown,1363,2,1,"Gym, Balcony, Security, Kids Area",Furnished,Sea,Emaar,2008,1,97359,1536322,Apartment
Arabian Ranches,3125,4,3,"Kids Area, Parking, Pet Friendly",Semi-Furnished,None,Emaar,2016,3,274426,5296369,Villa
Downtown,719,1,1,"Security, Smart Home, Pool, Balcony, Pet Friendly",Unfurnished,Sea,Meraas,2007,1,54587,871506,Apartment
Dubai Marina,2078,2,2,"Maid Room, Smart Home, Kids Area, Balcony, Security, Pet Friendly",Unfurnished,Street,Meraas,2016,2,188969,3296507,Townhouse
The Springs,4644,6,5,"Parking, Gym, Pool, Smart Home, Security, Maid Room",Semi-Furnished,Sea,Azizi,2013,2,279655,5461084,Villa
Arabian Ranches,1936,1,1,"Parking, Smart Home, Pet Friendly, Security, Pool, Maid Room",Semi-Furnished,Park,Nakheel,2000,1,131094,2754794,Apartment
The Springs,1352,2,1,"Parking, Pet Friendly, Gym, Pool, Kids Area, Smart Home",Semi-Furnished,City,Emaar,2011,2,128559,1929998,Apartment
The Springs,1002,2,3,"Gym, Smart Home, Maid Room, Parking, Kids Area, Pool",Semi-Furnished,None,Nakheel,2000,1,50194,818384,Apartment
JLT,1443,1,2,"Gym, Smart Home, Balcony, Parking, Security",Semi-Furnished,City,Azizi,2010,2,91885,1434881,Apartment
Dubai Marina,3353,3,3,"Maid Room, Pool, Smart Home",Semi-Furnished,City,Meraas,2022,2,303250,5134951,Townhouse
Downtown,802,1,2,"Security, Pet Friendly, Pool, Gym, Kids Area, Parking",Furnished,Park,Nakheel,2013,3,43870,685654,Apartment
Downtown,1563,2,1,"Pool, Parking, Pet Friendly",Furnished,City,Meraas,2015,1,92280,1368055,Apartment
Downtown,2810,2,1,"Kids Area, Maid Room, Pet Friendly, Balcony, Parking, Security",Unfurnished,City,Azizi,2004,3,256091,4164299,Townhouse
JLT,3393,2,1,"Pet Friendly, Smart Home, Parking",Semi-Furnished,None,Damac,2015,3,252468,6077924,Townhouse
JLT,2327,2,1,"Balcony, Maid Room, Smart Home, Pool",Furnished,None,Azizi,2011,2,188728,3589452,Townhouse
Arabian Ranches,896,1,2,"Pool, Kids Area, Gym, Balcony, Smart Home, Security",Furnished,Street,Sobha,2000,2,56578,1299267,Apartment
Business Bay,1407,2,3,"Pet Friendly, Maid Room, Smart Home, Pool",Semi-Furnished,Park,Azizi,2005,2,57988,1164086,Apartment
The Springs,2006,2,1,"Parking, Pet Friendly, Balcony",Furnished,Park,Emaar,2000,2,86293,1961011,Townhouse
Arabian Ranches,5886,5,6,"Gym, Parking, Smart Home",Semi-Furnished,Sea,Emaar,2018,1,615000,10525254,Villa
Business Bay,4100,6,5,"Security, Pool, Pet Friendly, Maid Room, Parking",Furnished,Sea,Sobha,2019,2,248402,3925315,Villa
Dubai Marina,858,3,3,"Pet Friendly, Kids Area, Smart Home",Furnished,Street,Sobha,2011,3,48334,810912,Apartment
The Springs,881,2,3,"Balcony, Maid Room, Smart Home, Pool, Kids Area",Furnished,Sea,Emaar,2018,1,50416,720784,Apartment
Downtown,550,2,2,"Balcony, Smart Home, Maid Room, Pet Friendly, Gym",Unfurnished,None,Meraas,2018,2,36917,797471,Apartment
Palm Jumeirah,3991,4,4,"Kids Area, Pool, Gym, Pet Friendly",Semi-Furnished,Street,Nakheel,2015,2,302211,5820192,Villa
Arabian Ranches,1069,3,4,"Kids Area, Parking, Gym, Pool, Smart Home, Balcony",Furnished,Street,Damac,2004,1,71012,1504484,Apartment
